Date,Product,UnitPrice,Quantity,Revenue,Profit,Rep
2023-02-01,Blue chair,20,8,160,132,Joe
2023-02-01,Square table,54,3,162,110,Peter
2023-02-01,Red chair,27,10,270,202,Jessica
2023-02-01,Short lamp,49,4,196,139,Jennifer
2023-02-08,Blue chair,20,9,180,153,Tom
2023-02-08,Round table,52,7,364,320,Louis
2023-02-08,White chair,13,1,13,8,Dave
2023-02-08,Big lamp,96,6,576,408,Joe
2023-02-15,White chair,13,10,130,87,Jessica
2023-02-15,Square table,54,10,540,388,Joe
2023-02-15,Blue chair,20,5,100,72,Joe
2023-02-15,Square table,54,2,108,78,Peter
2023-02-22,Red chair,27,8,216,164,Jessica
2023-02-22,Short lamp,49,1,49,42,Jennifer
2023-02-22,Blue chair,20,2,40,28,Tom
2023-02-22,Round table,52,6,312,240,Louis
2023-03-01,White chair,13,8,104,89,Dave
2023-03-01,Big lamp,96,5,480,384,Joe
2023-03-01,White chair,13,6,78,49,Jessica
2023-03-01,Square table,54,5,270,175,Joe
2023-03-08,Blue chair,20,6,120,94,Joe
2023-03-08,Square table,54,4,216,136,Peter
2023-03-08,Red chair,27,10,270,194,Jessica
2023-03-08,Short lamp,49,7,343,240,Jennifer
2023-03-15,Blue chair,20,2,40,29,Tom
2023-03-15,Round table,52,8,416,366,Louis
2023-03-15,White chair,13,1,13,9,Dave
2023-03-15,Big lamp,96,5,480,321,Joe
2023-03-22,White chair,13,4,52,37,Jessica
2023-03-22,Square table,54,9,486,388,Joe
2023-03-22,Blue chair,20,5,100,90,Joe
2023-03-22,Square table,54,8,432,276,Peter
2023-03-29,Red chair,27,6,162,129,Jessica
2023-03-29,Short lamp,49,6,294,223,Jennifer
2023-03-29,Blue chair,20,5,100,76,Tom
2023-03-29,Round table,52,7,364,240,Louis
2023-04-05,White chair,13,1,13,11,Dave
2023-04-05,Big lamp,96,1,96,85,Joe
2023-04-05,White chair,13,4,52,34,Jessica
2023-04-05,Square table,54,9,486,320,Joe
2023-04-12,Blue chair,20,10,200,172,Joe
2023-04-12,Square table,54,3,162,134,Peter
2023-04-12,Red chair,27,9,243,199,Jessica
2023-04-12,Short lamp,49,7,343,243,Jennifer
2023-04-19,Blue chair,20,6,120,99,Tom
2023-04-19,Round table,52,4,208,187,Louis
2023-04-19,White chair,13,6,78,67,Dave
2023-04-19,Big lamp,96,6,576,483,Joe
2023-04-26,White chair,13,10,130,81,Jessica
2023-04-26,Square table,54,4,216,181,Joe
2023-04-26,Blue chair,20,6,120,80,Louis
2023-04-26,Square table,54,6,324,200,Tom
